method,family,dim,bytes_per_embedding,compression,spearman
PCA-384 topm-64,PCA top-m int8,384,192,8.0,0.8502127789117315
PCA-384 topm-96,PCA top-m int8,384,288,5.333333333333333,0.8614669859666362
PCA-384 topm-128,PCA top-m int8,384,384,4.0,0.8647911145951723
RandRot-384-s1 topm-4,Random rotation top-m int8,384,12,128.0,0.6102389313241314
RandRot-384-s1 topm-8,Random rotation top-m int8,384,24,64.0,0.7215736632284362
RandRot-384-s1 topm-12,Random rotation top-m int8,384,36,42.666666666666664,0.7742494301179392
RandRot-384-s1 topm-16,Random rotation top-m int8,384,48,32.0,0.799191588791189
RandRot-384-s1 topm-24,Random rotation top-m int8,384,72,21.333333333333332,0.8263374574928192
RandRot-384-s1 topm-32,Random rotation top-m int8,384,96,16.0,0.8344926821424615
RandRot-384-s1 topm-48,Random rotation top-m int8,384,144,10.666666666666666,0.8498663427295916
RandRot-384-s1 topm-64,Random rotation top-m int8,384,192,8.0,0.8541110716375722
RandRot-384-s1 topm-96,Random rotation top-m int8,384,288,5.333333333333333,0.8616181141848103
RandRot-384-s1 topm-128,Random rotation top-m int8,384,384,4.0,0.8638733648515031
RandRot-384-s2 topm-4,Random rotation top-m int8,384,12,128.0,0.5988050127634927
RandRot-384-s2 topm-8,Random rotation top-m int8,384,24,64.0,0.7135458689669928
RandRot-384-s2 topm-12,Random rotation top-m int8,384,36,42.666666666666664,0.7618888646717348
RandRot-384-s2 topm-16,Random rotation top-m int8,384,48,32.0,0.7884975723530294
RandRot-384-s2 topm-24,Random rotation top-m int8,384,72,21.333333333333332,0.8187024195788201
RandRot-384-s2 topm-32,Random rotation top-m int8,384,96,16.0,0.8354945500857609
RandRot-384-s2 topm-48,Random rotation top-m int8,384,144,10.666666666666666,0.8527610849408073
RandRot-384-s2 topm-64,Random rotation top-m int8,384,192,8.0,0.8556589392538148
RandRot-384-s2 topm-96,Random rotation top-m int8,384,288,5.333333333333333,0.8621667907200415
RandRot-384-s2 topm-128,Random rotation top-m int8,384,384,4.0,0.8653434548339994
RandRot-384-s3 topm-4,Random rotation top-m int8,384,12,128.0,0.6394619619317969
RandRot-384-s3 topm-8,Random rotation top-m int8,384,24,64.0,0.7344112383717231
RandRot-384-s3 topm-12,Random rotation top-m int8,384,36,42.666666666666664,0.7770030672841602
RandRot-384-s3 topm-16,Random rotation top-m int8,384,48,32.0,0.8033272304691456
RandRot-384-s3 topm-24,Random rotation top-m int8,384,72,21.333333333333332,0.8287321056016774
RandRot-384-s3 topm-32,Random rotation top-m int8,384,96,16.0,0.838853501755645
RandRot-384-s3 topm-48,Random rotation top-m int8,384,144,10.666666666666666,0.8501116934327186
RandRot-384-s3 topm-64,Random rotation top-m int8,384,192,8.0,0.8574708497569027
RandRot-384-s3 topm-96,Random rotation top-m int8,384,288,5.333333333333333,0.8640946443636411
RandRot-384-s3 topm-128,Random rotation top-m int8,384,384,4.0,0.8654900118746418
RandRot-384-s4 topm-4,Random rotation top-m int8,384,12,128.0,0.6438815319921851
RandRot-384-s4 topm-8,Random rotation top-m int8,384,24,64.0,0.7365482515439971
RandRot-384-s4 topm-12,Random rotation top-m int8,384,36,42.666666666666664,0.7766283284222095
RandRot-384-s4 topm-16,Random rotation top-m int8,384,48,32.0,0.8005135494832659
RandRot-384-s4 topm-24,Random rotation top-m int8,384,72,21.333333333333332,0.8252107900329709
RandRot-384-s4 topm-32,Random rotation top-m int8,384,96,16.0,0.834524955783423
RandRot-384-s4 topm-48,Random rotation top-m int8,384,144,10.666666666666666,0.848989473797053
RandRot-384-s4 topm-64,Random rotation top-m int8,384,192,8.0,0.8507646316057382
RandRot-384-s4 topm-96,Random rotation top-m int8,384,288,5.333333333333333,0.8579457824690003
RandRot-384-s4 topm-128,Random rotation top-m int8,384,384,4.0,0.8649868567231387
RandRot-384-s5 topm-4,Random rotation top-m int8,384,12,128.0,0.6215673579562027
RandRot-384-s5 topm-8,Random rotation top-m int8,384,24,64.0,0.7289751068553669
RandRot-384-s5 topm-12,Random rotation top-m int8,384,36,42.666666666666664,0.7843496771267552
RandRot-384-s5 topm-16,Random rotation top-m int8,384,48,32.0,0.8036009425921244
RandRot-384-s5 topm-24,Random rotation top-m int8,384,72,21.333333333333332,0.8296867750787617
RandRot-384-s5 topm-32,Random rotation top-m int8,384,96,16.0,0.840577630607284
RandRot-384-s5 topm-48,Random rotation top-m int8,384,144,10.666666666666666,0.8508906743973479
RandRot-384-s5 topm-64,Random rotation top-m int8,384,192,8.0,0.8576018018045695
RandRot-384-s5 topm-96,Random rotation top-m int8,384,288,5.333333333333333,0.8604279016196597
RandRot-384-s5 topm-128,Random rotation top-m int8,384,384,4.0,0.8619024755910156
